#{"t_start": 1768249545.6688778, "env_id": "SpaceInvaders-v0"}
r,l,t
435.0,1146,2095.616991
430.0,1114,2098.5793
775.0,1443,2102.381195
545.0,1464,2131.434118
475.0,1130,2134.4241
575.0,1110,2137.262796
570.0,1324,2140.732808
425.0,987,2143.275987
535.0,1060,2145.989913
470.0,1253,2149.295801
480.0,1348,2152.901947
485.0,1243,2156.207061
520.0,1414,2159.959328
610.0,1015,2162.559889
410.0,1143,2165.511874
490.0,900,2167.84709
305.0,1114,2170.808747
610.0,1338,2174.269614
485.0,1071,2177.129824
775.0,1453,2180.968852
395.0,927,2183.46132
565.0,1189,2186.623158
485.0,1040,2189.378528
550.0,1451,2193.208476
350.0,887,2195.506221
330.0,906,2197.804191
495.0,1274,2201.177566
405.0,1132,2204.119257
680.0,1260,2207.431457
570.0,1429,2211.162156
640.0,1441,2215.053199
415.0,1464,2218.846921
570.0,1452,2222.833302
560.0,1331,2226.297431
490.0,1125,2229.286294
485.0,1271,2232.593766
485.0,1251,2235.860194
305.0,974,2238.320895
805.0,1279,2241.717729
260.0,1130,2244.769905
545.0,1262,2248.09767
305.0,837,2250.298319
585.0,1331,2253.696607
575.0,1137,2256.66995
745.0,1289,2260.105967
525.0,1317,2263.597426
800.0,1545,2267.711996
540.0,1305,2271.143076
545.0,1375,2274.84193
545.0,1293,2278.211578
450.0,1310,2281.662606
465.0,1170,2284.692512
510.0,1365,2288.275256
530.0,1445,2292.046139
390.0,1010,2294.652649
230.0,1105,2297.508775
470.0,1531,2301.550613
615.0,1113,2304.560201
215.0,728,2306.375634
490.0,1211,2309.550344
185.0,894,2311.906969
400.0,1131,2314.783623
160.0,709,2316.596345
370.0,891,2319.05932
305.0,1225,2322.27741
545.0,1137,2325.285662
495.0,1664,2329.65794
400.0,937,2332.212934
570.0,1363,2336.054331
175.0,834,2338.176279
335.0,776,2340.142684
665.0,1178,2343.218703
220.0,907,2345.512659
525.0,1307,2349.157418
525.0,1239,2376.170382
450.0,1252,2379.508259
400.0,1314,2382.899466
300.0,1071,2385.800972
40.0,628,2387.418947
755.0,1186,2390.635185
600.0,1401,2394.423315
355.0,944,2396.843462
690.0,1293,2400.328594
570.0,1286,2403.696412
440.0,1132,2406.60891
575.0,1439,2410.592065
290.0,1007,2413.316552
515.0,1257,2416.597553
240.0,757,2418.495615
545.0,1353,2421.970991
600.0,1444,2425.807278
490.0,1317,2429.369213
475.0,1152,2432.466446
500.0,1435,2436.241542
280.0,671,2437.894281
365.0,1128,2440.921993
330.0,925,2443.352358
495.0,1428,2447.133415
140.0,498,2448.407092
540.0,1174,2451.619824
540.0,1249,2454.936677
575.0,1609,2459.129371
370.0,1377,2462.785394
600.0,1371,2466.398452
480.0,1255,2469.673475
465.0,1119,2472.579114
390.0,1291,2475.955813
320.0,1063,2478.718182
355.0,883,2480.992079
200.0,620,2482.575428
585.0,1303,2486.076926
390.0,861,2488.353256
165.0,699,2490.156314
495.0,1248,2493.442417
490.0,1322,2496.90927
465.0,1351,2500.453916
305.0,1037,2503.131687
805.0,1498,2507.115242
465.0,1456,2510.858647
530.0,1050,2513.75618
600.0,1458,2517.607551
815.0,1068,2520.399344
205.0,746,2522.282485
395.0,1279,2525.584263
675.0,1056,2528.372157
145.0,506,2529.615968
495.0,1478,2533.521646
385.0,1132,2536.497328
600.0,1675,2540.858436
545.0,1258,2544.257057
335.0,930,2546.661742
510.0,1053,2549.377226
605.0,1298,2552.800927
470.0,1492,2556.774938
180.0,666,2558.526681
345.0,889,2560.95345
725.0,1154,2564.020022
515.0,1379,2567.60166
575.0,1542,2571.446891
630.0,1295,2574.600115
605.0,1304,2577.72524
570.0,1518,2581.368485
720.0,1237,2584.253556
575.0,1379,2587.440187
940.0,1738,2615.854885
545.0,1152,2618.528023
285.0,1034,2620.932097
455.0,1325,2624.031296
545.0,1475,2627.460639
85.0,740,2629.170618
650.0,1804,2633.420362
565.0,1420,2636.704874
515.0,1503,2640.174609
555.0,1160,2642.824611
365.0,1188,2645.480456
575.0,1334,2648.444456
465.0,1307,2651.438383
515.0,1213,2654.207505
360.0,1111,2656.7434
170.0,505,2657.835668
295.0,916,2659.958492
740.0,1221,2662.70732
555.0,1159,2665.368038
345.0,1095,2667.829472
745.0,1191,2670.593456
605.0,1434,2673.844385
800.0,1368,2676.95102
575.0,1246,2679.763744
550.0,1169,2682.454093
540.0,1394,2685.637874
215.0,872,2687.658627
515.0,1051,2690.020152
515.0,1170,2692.685184
